id 名字 等级 是否BOSS 怪物类型 地图 掉落
4230505 坛子 47 0 8 251010000,251010100 1002212,1002215,1040089,1050045,1052116,1372007,1462019,2000002,2000003,2040001,2044102,2330002,2383006,4000291,4004002,4006001,4020000,4020006,4030012,4130001,4130012,4130014,4130016,2022245,4031865,4031866 move,stand,hit1,die1
4230506 山参坛子 48 0 8 251010000,251010100,251010101,251010102 1002083,1002212,1032007,1041080,1041086,1041092,1061079,1061085,1061091,1102003,1302013,1492007,2000002,2000003,2040622,2044110,2044312,2044902,2330002,2383010,4000292,4006001,4010001,4020000,4130000,4130017,2022245,4031865,4031866 move,stand,hit1,die1
4230600 沙漠巨人 40 0 5 260020400,260020401 1002210,1041082,1061081,1072002,1082055,1092030,1102000,1372012,1432003,1452007,1492006,2000002,2000003,2040823,2044401,2044412,2044802,2060000,2061000,2070003,2382046,4000332,4004003,4006001,4007000,4007004,4007006,4010007,4020001,4130000,4130016,2022245,4031865,4031866 move,stand,hit1,die1
4240000 白外星人司令 49 0 5 221040201,221040300,221040301,221040400 1002101,1002216,1041074,1041083,1061069,1061082,1072122,1072125,1072130,1072133,1082080,1102016,1322016,1332003,1482021,2000002,2000004,2002008,2040029,2040619,2043801,2044114,2048011,2060000,2061000,2383011,4000125,4004001,4004003,4006001,4010006,4020008,4021009,4031102,4031106,4031926,4130000,4130006,4130011,4130015,2022245,4031865,4031866 move,stand,jump,attack1,skill1,hit1,die1
4250000 苔藓蜗牛 42 0 0 300010000,300010100,300030000 1002025,1051025,1072109,1082083,1492006,2000002,2000003,2040004,2382076,4000436,4007003,4007005,4010005,4020004,4130005,4130015,4130017,2022245,4031865,4031866 move,stand,hit1,die1
4250001 苔藓木妖 46 0 0 300010100,300010200,300010300 1002215,1051038,1072303,1082066,1442005,2000002,2000003,2040627,2383056,4000438,4010004,4020005,4130014,2022245,4031865,4031866 move,stand,hit1,die1
5090000 谢尔德 56 1 0 103000105,103000202 1032044,1112407,1122006,1302029,1442066,2040206,2383048,4000413,2022245,4031865,4031866 move,stand,skill1,hit1,die1
5090001 仙人玩偶 128 1 0 250020000 1052166,1082150,1092052,1102026,1132009,2383049,4000412,2022245,4031865,4031866 move,stand,skill1,hit1,die1
5100000 小白雪人 50 0 0 211010000,211020000,211040100,211040101,211040300 1002100,1041096,1050053,1051037,1051044,1051045,1052116,1061095,1072089,1082038,1092030,1442009,1452006,2000002,2000003,2000004,2022001,2040321,2040804,2040925,2040933,2043019,2043110,2044602,2383013,4000021,4000048,4003005,4004002,4007000,4007001,4007002,4010002,4020001,4130010,4130011,2022245,4031865,4031866 move,stand,jump,hit1,die1
5100002 火精灵 51 0 5 211042000,211042200,280020000 1002209,1002214,1002242,1040087,1041076,1051025,1060073,1060076,1061071,1072150,1092030,1302009,1322017,1332016,1382039,1482022,1492007,2000002,2000003,2040326,2041010,2070003,2383017,4000081,4004000,4006000,4010001,4020000,4130001,4130007,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
5100003 小虎 50 0 0 222010001,222010002,222010100,222010101,222010102,222010200 1041088,1051038,1060077,1072118,1082198,1312008,1322017,1332011,1442009,1442016,2000002,2000003,2000004,2002003,2040804,2040805,2040901,2044602,2044805,2383014,4000021,4000170,4004002,4010002,4020001,4031268,4130003,4130008,4130016,2022245,4031865,4031866 move,stand,hit1,die1
5100004 三尾狐 56 0 0 222010201,222010300,222010310 1032021,1040087,1040099,1050058,1051046,1052119,1060076,1060088,1072134,1082066,1082081,1372034,1382012,1432006,2000003,2000004,2040420,2043701,2043801,2383034,4000021,4000172,4004002,4004004,4007000,4007006,4010005,4020004,4031790,4130003,4130005,4130011,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
5100005 虎精 53 0 0 222010100,222010101,222010102,222010200,222010201 1040095,1041079,1051045,1060084,1061078,1332056,1402006,1422007,2000002,2000003,2000004,2040316,2040621,2040622,2041023,2044201,2044901,2044902,2070004,2383024,4000021,4000171,4004003,4006000,4010001,4010005,4130008,4130009,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
5110300 红变异螺母 50 0 8 261020100 1041088,1051038,1052116,1060077,1072118,1312008,1332011,1482007,2000002,2000003,2002003,2040027,2040317,2040901,2044602,2044902,2383016,4000360,4004002,4020005,4130000,4130004,4130006,2022245,4031865,4031866 move,stand,hit1,die1
5110301 洛伊德 54 0 8 261020300,261020301,261020400 1002159,1040057,1040087,1040091,1040096,1050052,1060076,1060080,1060085,1082004,1312032,1492008,2000002,2000003,2040323,2040422,2043017,2383028,4000364,4004004,4007000,4007006,4020005,4130001,4130005,4130006,2022245,4031865,4031866 move,stand,hit1,die1
5110302 氯化洛伊德 58 0 8 261020400,261020500 1002029,1002248,1002269,1041077,1041079,1051037,1061076,1072146,1082066,1082201,1322054,1332025,1332056,1442051,2000002,2000003,2000004,2040425,2040804,2040901,2040923,2043116,2044114,2048010,2383042,4000365,4007000,4007003,4007006,4010006,4130008,4130009,2022245,4031865,4031866 move,stand,attack1,hit1,die1
5120000 日光精灵 52 0 5 200070000,200080000 1002086,1002185,1002210,1040081,1040088,1051033,1051034,1060070,1060077,1072118,1072128,1072134,1072144,1082086,1082201,1092007,1422007,1472055,2000002,2000003,2000004,2040324,2040412,2040423,2040504,2041017,2043017,2070002,2330002,2383020,4000061,4003005,4004000,4004004,4006001,4010006,4020002,4031309,4130010,2022245,4031865,4031866 move,stand,jump,attack1,skill1,hit1,die1
5120001 红独角狮 53 0 0 200010111,200010200 1002028,1032013,1040094,1041089,1050054,1050058,1060083,1061088,1072115,1072126,1072306,1082074,1402007,1432040,2000002,2000003,2000004,2040933,2041012,2043002,2043102,2044212,2050003,2331000,2383021,4000070,4003005,4004000,4006000,4007001,4007003,4010005,4020000,4130000,4130008,4130009,2022245,4031865,4031866 move,stand,attack1,jump,hit1,die1
5120002 黄独角狮 53 0 0 200010121,200010200 1002024,1002045,1002181,1002267,1002631,1040084,1051041,1060073,1072123,1072131,1082009,1082081,1302010,1312007,1312032,1402039,2000002,2000003,2000004,2041017,2044001,2044212,2330002,2383022,4000071,4003005,4004001,4006001,4010002,4020003,4130002,4130014,2022245,4031865,4031866 move,stand,attack1,jump,hit1,die1
5120003 蓝独角狮 53 0 0 200010131,200010200 1002038,1002153,1002181,1002634,1032011,1032019,1041078,1041085,1050047,1050052,1051034,1061077,1061084,1072135,1082082,1322018,1322025,1332015,1382006,1482022,2000002,2000003,2000004,2040323,2040924,2040925,2041023,2044002,2070004,2070010,2331000,2332000,2383023,4000072,4003005,4004003,4006000,4007001,4007007,4010001,4020005,4130005,4130012,2022245,4031865,4031866 move,stand,attack1,jump,hit1,die1
5120100 外星章鱼闪电棒 54 1 8 221030601 1002154,1002211,1032014,1040095,1040096,1041082,1060085,1061081,1072142,1082010,1082067,1092010,1402011,1412007,1432040,2000002,2000004,2002010,2043017,2044602,2060000,2061000,2383026,4000126,4004000,4010006,4011007,4020001,4020007,4130004,4130013,2022245,4031865,4031866 move,stand,attack1,hit1,die1
5120500 棕熊 56 0 0 250010301,250010302,250010303 1032021,1040099,1050058,1060088,1072134,1082066,1082081,1082201,1092045,1432006,1472055,2000002,2000003,2040031,2040515,2043701,2043801,2330002,2383035,4000021,4000283,4000284,4003005,4004002,4004004,4010005,4020004,4020007,4130000,4130009,4130021,2022245,4031865,4031866 move,stand,attack1,chase,hit1,die1
5120501 桔梗精 53 0 4 251010101,251010102,251010200,251010300 1032019,1040102,1050052,1051037,1051041,1060090,1482008,2000002,2000003,2040423,2041023,2044310,2383025,4000293,4004003,4006000,4010001,4020005,4130016,4130017,2022245,4031865,4031866 move,stand,hit1,die1
5120502 老山参精 54 0 4 251010200,251010300 1002159,1040057,1040087,1040091,1040096,1040102,1050052,1052116,1060076,1060080,1060085,1060090,1082004,1302064,1332056,1442051,1452016,2000002,2000003,2040425,2040927,2383027,4000294,4004004,4006000,4020005,4130000,4130003,4130005,2022245,4031865,4031866 move,stand,hit1,die1
5120503 训练用稻草娃娃 50 0 8 250020000,250020100,250020200 1041088,1051038,1060077,1072118,1072303,1312008,1332011,1372034,2000002,2000003,2002003,2040001,2040026,2040422,2040901,2040925,2040927,2044602,2383015,4000286,4004002,4007000,4007004,4020005,4130002,4130010,4130013,2022245,4031865,4031866 move,stand,hit1,die1
5120504 训练用木娃娃 51 0 8 250020100,250020200,250020300 1002215,1002634,1040097,1040105,1060086,1060093,1072072,1092007,2000002,2000003,2040504,2040619,2040825,2040931,2330002,2383018,4000287,4004000,4006001,4007000,4007006,4010006,4020002,4130007,4130012,2022245,4031865,4031866 move,stand,hit1,die1
5120505 天鹿 58 0 0 250010500,250010501,250010600,250010700 1002029,1002248,1002269,1041077,1051037,1052119,1061076,1072146,1082066,1332056,2000002,2000003,2000004,2040421,2040534,2040804,2040901,2040928,2383041,4000021,4000288,4003005,4010006,4130004,4130008,4130009,2022245,4031865,4031866 move,stand,attack1,skill1,jump,hit1,die1
5120506 秘籍 55 0 5 250010501,250010502,250010503 1002092,1002168,1040086,1040095,1040096,1050059,1060084,1072127,1302064,1312032,1402006,1402039,1412007,1412027,1442010,1452004,1472030,1492007,2000002,2000003,2040317,2040617,2040825,2040927,2044201,2330002,2383032,4000298,4000299,4007002,4007007,4010006,4020008,4031432,4130006,4130014,2022245,4031865,4031866 stand,move,skill1,hit1,die1
5130100 青龙 50 0 1 105080000,105090000,105090100,105090310 1002631,1040089,1041077,1041079,1051030,1051037,1051045,1060078,1061076,1072108,1072114,1072116,1082083,1092008,1332016,1382006,1412005,1422014,1432005,1452007,1452022,1462004,1472017,2000002,2000004,2002001,2002004,2012000,2012003,2040026,2040422,2070003,2383012,4000014,4000030,4001077,4010004,4010006,4020007,4030012,4130004,4130009,4130015,2022245,4031865,4031866 move,stand,hit1,die1
5130101 石头人 55 0 8 105040304,105040305,105040320,106010101,106010102,106010103 1002086,1002247,1032002,1040084,1041080,1041091,1050048,1061079,1061090,1072121,1072143,1072303,1082025,1082076,1092002,1092046,1302064,1312009,1372012,1452005,1462040,1492020,2000003,2000004,2000006,2044501,2044601,2070002,2070003,2383030,4000022,4007000,4007001,4007006,4020008,4130010,4130013,2022245,4031865,4031866 move,stand,skill1,hit1,die1
5130102 黑石头人 58 0 8 105040304,105040305,105040306,106010105 1002022,1002209,1002214,1002249,1032021,1040085,1040091,1041074,1050039,1050059,1060074,1060080,1061069,1072120,1072139,1082009,1082088,1102018,1322054,1382007,1462040,1492008,2000003,2000004,2040425,2040618,2044001,2044101,2044201,2044802,2070004,2383039,4000025,4001005,4004004,4020008,4130000,4130016,4130017,2022245,4031865,4031866 move,stand,skill1,hit1,die1
5130103 黑鳄鱼 52 0 1 107000300,107000400 1002210,1002218,1040098,1041079,1050046,1051037,1051038,1052119,1060087,1061078,1082092,1092009,1332031,1382019,2000002,2000003,2000004,2040027,2043212,2044212,2044801,2383019,4000033,4007000,4007001,4007006,4010000,4020004,4020007,4130007,4130011,2022245,4031865,4031866 move,stand,hit1,die1
5130104 野狼 55 0 0 211010000,211020000,211030000,211040000,211040500,211040600,211050000 1002213,1002215,1040097,1050052,1060086,1072119,1072127,1082064,1082075,1092046,1102000,1302064,1332017,1422009,1432040,1442024,1462008,1482007,1482020,1482022,2000003,2000004,2040326,2041019,2044110,2044809,2060000,2061000,2070003,2383031,4000021,4000051,4003004,4004003,4007007,4010001,4020001,4130002,4130015,4130017,2022245,4031865,4031866 move,stand,attack1,jump,hit1,die1
5130105 小黑雪人 56 0 0 211040300,211040400,211040700 1002208,1002216,1032021,1040102,1041082,1041086,1060090,1061081,1061085,1072138,1072151,1082059,1082090,1092010,1102015,1382006,1382012,1422029,2000003,2000004,2022001,2040027,2040317,2043701,2044112,2383033,4000021,4000055,4003004,4004002,4004004,4010005,4020004,4130007,4130017,2022245,4031865,4031866 move,stand,jump,hit1,die1
5130107 僵尸 57 0 7 211041100,211041200,211041300,211041400 1002244,1002247,1002269,1032019,1040092,1040094,1040105,1051039,1060081,1060083,1060093,1072109,1072117,1082062,1082071,1102016,1312008,1322016,1372007,1422014,1482008,2000002,2000003,2000004,2040026,2040515,2040602,2048012,2383037,4000069,4001107,4001207,4004000,4007004,4007005,4010000,4020006,4031218,4130001,4130006,4130011,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
5130108 矿山僵尸 57 0 7 211041500,211041600,211041700,211041800 1002084,1002155,1002169,1002243,1032018,1041084,1041100,1051043,1051046,1051063,1061083,1061099,1072130,1072133,1072141,1082094,1092011,1102017,1322054,1332011,1452045,2000002,2000003,2000004,2040029,2040402,2040419,2383038,4000069,4000082,4001207,4004002,4010001,4020004,4031218,4130002,4130014,4130015,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
5140000 白狼 58 0 0 196010000,211030000,211040000,211040001,211040500,211040600,211040800,211040900,211041000,211050000 1002029,1002634,1032014,1041077,1041097,1050051,1050052,1050053,1050059,1060089,1061076,1061096,1072114,1072127,1072134,1072151,1082066,1082072,1092047,1102021,1412007,1422008,1462040,1472014,2000003,2000004,2020028,2040024,2040901,2044214,2060000,2061000,2070004,2383040,4000021,4000052,4003005,4004001,4006001,4020000,4020007,4130001,4130003,4130013,2022245,4031865,4031866 move,stand,attack1,jump,hit1,die1
5150000 混种石头人 59 0 8 105040306,105040320 1002029,1002184,1002248,1002269,1040092,1041077,1041094,1051037,1060080,1060081,1061076,1061093,1072146,1072306,1082066,1082087,1372014,1402039,2000002,2000003,2000004,2040804,2040824,2040901,2040928,2044501,2060000,2061000,2070004,2383043,4000177,4010006,4020008,4130005,4130007,4130019,2022245,4031865,4031866 move,stand,skill1,hit1,die1
5150001 骷髅士兵 57 0 7 101030106,101030107,101030110,101030111,101030112 1002030,1002252,1002281,1002287,1040092,1040098,1050059,1051045,1060081,1060087,1072122,1072128,1072132,1072140,1072306,1302030,1332055,2000003,2000004,2040804,2043210,2043701,2043801,2043802,2044312,2044701,2383036,4000206,4010005,4020004,4130003,4130010,2022245,4031865,4031866 move,stand,attack1,hit1,die1
5200000 小石球 23 0 8 200080200,200080300,200080400,200080500,200080600,200081300,200081400 1002129,1002142,1040016,1041048,1060011,1061044,1322002,1322004,1442014,1452005,1452022,1462014,1462019,1482002,2000001,2000003,2044102,2044212,2060001,2061001,2070000,2381012,4000083,4004003,4010000,4020006,2022245,4031865,4031866 move,stand,hit1,die1
5200001 冰石球 30 0 8 200080900,200081000,200081200,200081400 1002142,1040024,1041047,1050026,1061043,1062006,1322009,1422007,1442003,1472030,2000001,2000003,2041016,2060001,2061001,2381037,4000084,4004001,4006000,4006001,4010002,4020002,2022245,4031865,4031866 move,stand,attack1,hit1,die1
5200002 火石球 30 0 8 200081000,200081100,200081200,200081300 1032009,1041054,1041059,1041064,1050000,1061050,1061055,1072089,1082052,1452006,1492020,2000001,2000003,2040805,2040926,2060001,2061001,2381038,4000085,4004001,4006000,4010005,4020000,2022245,4031865,4031866 move,stand,attack1,hit1,die1
5220000 巨居蟹 55 1 0 110040000 1002029,1002246,1002249,1002270,1002634,1040093,1040100,1041092,1041095,1050056,1050060,1051041,1051047,1052119,1072136,1072144,1072149,1072152,1072306,1082061,1082088,1082091,1082094,1082201,2000002,2000003,2001001,2002000,2040004,2040513,2040702,2040704,2040707,2040802,2040804,2040902,2041002,2041013,2041022,2043002,2043301,2044601,2044701,2048001,2060000,2061000,2388003,3010008,4000043,4000044,4010003,4020005,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
5220002 浮士德 50 1 0 100040105,100040106 1302010,1312008,1322017,1332003,1372007,1382006,1402003,1412003,1422005,1432004,1432039,1442005,1452008,1462007,1472021,1482007,1492007,2000002,2000003,2002002,2002003,2040301,2040504,2040514,2040707,2040801,2040901,2040928,2040931,2041002,2041016,2041017,2043702,2043801,2044101,2044302,2044601,2044701,2044802,2044901,2044902,2060000,2061000,2388002,4000021,4000026,4000029,4000031,4010005,4020005,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
5220003 提莫 59 1 8 220050000,220050100,220050200 1302011,1312009,1322018,1332015,1332017,1372014,1372033,1382007,1402011,1412007,1422009,1432006,1442010,1452004,1462008,1472025,1482008,1492008,1492022,2000002,2000003,2002002,2002003,2040302,2040401,2040502,2040516,2040614,2040627,2040704,2040804,2040825,2040933,2041002,2041013,2041016,2043201,2043701,2043802,2044114,2044116,2044201,2044301,2044502,2044801,2044807,2044902,2060000,2061000,2388005,4000113,4000114,4000115,4004001,4010003,4020006,4031991,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
5220004 巨型蜈蚣 50 1 0 251010102 1032013,1092017,1102002,1302012,1312010,1322019,1332018,1332019,1382007,1402012,1412008,1422010,1432007,1442008,1452009,1462009,1472026,2000004,2000005,2040001,2040004,2040301,2040401,2040501,2040504,2040601,2040701,2040704,2040707,2040801,2040804,2040901,2041001,2041004,2043001,2043101,2043201,2043301,2043701,2043801,2044001,2044101,2044201,2044301,2044401,2044501,2044601,2044701,2070005,2388052,2022245,4031865,4031866 move,stand,attack1,attack2,attack3,hit1,die1
5250000 苔藓蘑菇 55 0 0 300020100,300020200 1002208,1052116,1072143,1082010,1302064,1372034,1442051,1452004,2000002,2000003,2044312,2383057,4000437,4010002,4020002,4130003,4130014,4130017,2022245,4031865,4031866 move,stand,hit1,die1
5250001 石头虫 51 0 0 300010300,300020000,300020100 1002214,1040096,1041079,1072133,1082198,1372007,1442051,2000002,2000003,2041014,2383059,4000439,4010000,4020000,4130015,4130016,2022245,4031865,4031866 move,stand,hit1,die1
5250002 原始野猪 57 0 0 300010400 1002634,1040092,1041093,1072145,1082087,1092046,1332015,1422029,1442051,2000002,2000003,2044802,2383058,4000440,4010001,4020003,4032326,4130001,4130014,2022245,4031865,4031866 move,stand,hit1,die1
5300000 小白雪鬼 32 0 5 200081500,200081600,200081700,211000200 1002035,1002165,1032002,1040030,1041048,1050029,1051023,1060017,1060020,1061044,1072075,1072081,1082016,1082054,1332014,1382017,1482004,2000002,2000003,2040705,2050001,2070001,2382006,4000086,4004000,4006001,4010001,4020003,4020007,4030012,4031311,4130000,4130005,4130011,2022245,4031865,4031866 move,stand,hit1,die1
5300001 小黑雪鬼 33 0 5 200081700,200081800,200081900,200082000 1002138,1002175,1002625,1041068,1050029,1051023,1061063,1072105,1082036,1332014,1382012,1402002,2000002,2000003,2040402,2040623,2050000,2382014,4000087,4004001,4006001,4007002,4007004,4010000,4020004,4130013,4130016,2022245,4031865,4031866 move,stand,hit1,die1
5300100 巫婆 55 0 0 100040105,100040106 1002092,1002168,1032019,1040086,1040090,1051031,1051039,1060000,1060079,1072137,1072143,1082011,1082093,1082198,1312032,1332003,1382001,1452004,1452008,1462019,1472020,2000002,2000003,2000004,2043801,2383029,4000041,4004004,4006000,4010006,4020008,4030012,4031925,4130006,4130010,4130016,2022245,4031865,4031866 fly,hit1,die1
5400000 小企鹅王 35 0 0 200082000,200082100,211000200 1002021,1002177,1040030,1040059,1041067,1051001,1060045,1061062,1072108,1082062,1082192,1382017,1422007,1422008,1432008,1462019,2000002,2000003,2043801,2044801,2044809,2050002,2060001,2061001,2070002,2382023,4000088,4004003,4006000,4007000,4007005,4007006,4010003,4020005,4130002,4130011,4130014,2022245,4031865,4031866 move,stand,hit1,die1
6090000 黑山老妖 74 1 7 211041100,211041200,211041300,211041400 1032042,1112407,1122001,1302026,1442054,2040105,2384010,4000336,2022245,4031865,4031866 move,stand,attack1,skill1,skill2,hit1,die1
6090001 雪山魔女 64 1 0 211010000,211020000,211050000 1032045,1112407,1122002,1302028,1442018,2040100,2040201,2384037,3010045,4000415,2022245,4031865,4031866 move,stand,skill1,hit1,die1
6090003 书生鬼 62 1 7 222010300 1032050,1112408,1122004,1302027,1442050,2384039,4000416,2022245,4031865,4031866 move,stand,skill1,hit1,die1
6090004 陆陆猫 63 1 7 261020200,261020400,261020600 1032026,1112408,1122005,1302017,1442055,2040101,2384040,4000419,2022245,4031865,4031866 move,stand,skill1,hit1,die1
6110300 哈闷 65 0 0 261010101 1002022,1032011,1032019,1032020,1040099,1040104,1041078,1041089,1051047,1051062,1060088,1060092,1072079,1072157,1072306,1082107,1092046,1102022,1332055,1382007,1382039,1432006,1432012,1432040,1462008,1472024,1472026,2000006,2040933,2384011,4000354,4004000,4007005,4007007,4010000,4020007,4130004,4130009,4130011,2022245,4031865,4031866 move,stand,hit1,die1
6110301 赛一特 68 0 7 261010101,261010103,261020401 1002289,1032015,1050081,1050088,1051078,1072080,1072085,1072309,1092015,1312032,1322018,1412011,1412027,1462008,1472027,2000002,2000004,2000006,2040621,2043302,2330003,2384018,4000363,4004001,4007000,4007002,4010002,4020005,4031745,4130001,4130007,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6130100 赤龙 60 0 1 105090100,105090300 1002246,1002248,1040079,1040080,1040083,1040100,1040103,1041080,1050046,1050056,1060068,1060072,1060089,1060091,1061079,1061102,1072136,1072146,1072148,1072160,1072162,1082067,1082106,1092004,1102022,1322054,1332016,1372012,1372014,1452022,1482008,2000004,2000006,2040301,2040302,2040319,2040901,2050099,2070005,2331000,2383044,4000014,4000030,4001006,4010005,4020007,4130004,4130014,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6130101 蘑菇王 60 1 4 100000005 1032013,1032019,1092012,1372000,1382006,2040001,2040004,2040024,2040301,2040401,2040427,2040501,2040504,2040601,2040618,2040619,2040701,2040704,2040707,2040801,2040804,2040901,2041001,2041004,2043212,2070006,2331000,2388006,4000040,4030001,2022245,4031865,4031866 move,stand,jump,attack1,hit1,die1
6130200 黄小丑 61 0 6 220060000 1002093,1002182,1032012,1040088,1050046,1050061,1051042,1052122,1060077,1072122,1072152,1072163,1082061,1082087,1082094,1082098,1102015,1302011,1312010,1332015,1402039,1452009,2000004,2000006,2022001,2041001,2043112,2043701,2043801,2044312,2384000,4000128,4004001,4006000,4010001,4010005,4020008,4031170,4031171,4031175,4130004,4130012,4130014,4130015,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6130202 变身小鬼怪 60 0 6 222010400,222010401 1040089,1040099,1041091,1060078,1060088,1061090,1072144,1082086,1082093,1102018,1432004,1432012,1442009,1452008,1462006,2000004,2000006,2040004,2040401,2040501,2383046,4000173,4004002,4010001,4020008,4031222,4130002,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
6130203 柔道猫熊 60 0 0 250010302,250010303,250010304 1002215,1002637,1041079,1041083,1050056,1061078,1061082,1072090,1082066,1102015,1322054,1472032,2000004,2000006,2040622,2043112,2044014,2070005,2383047,4000021,4000283,4000285,4003005,4010005,4020007,4130002,4130005,4130013,2022245,4031865,4031866 move,stand,attack1,chase,hit1,die1
6130204 鳄鳄 64 0 1 251010400,251010401,251010500 1040093,1040104,1040107,1051064,1051065,1052119,1060082,1060092,1060095,1082062,1332055,1382039,1402003,1402011,1452022,2000002,2000004,2000006,2040301,2040421,2043001,2044802,2330003,2384008,4000021,4000295,4003005,4004000,4007007,4010006,4020004,4130000,4130012,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
6130207 猿公 62 0 0 250010500,250010600,250010700 1002210,1032011,1040109,1051030,1051046,1060098,1072309,1102017,1442024,1452008,2000002,2000006,2040328,2040330,2043701,2044112,2330003,2384002,4000021,4000282,4003005,4020004,4130006,4130007,2022245,4031865,4031866 stand,move,attack1,jump,hit1,die1
6130208 克鲁 68 0 6 251010400,251010401,251010402,251010403 1002289,1032015,1050081,1050088,1051078,1072080,1072085,1082204,1092015,1322018,1462008,1472027,1482021,2000002,2000004,2000006,2040705,2043302,2044902,2384017,4000296,4004001,4007004,4010002,4020005,4130006,4130008,4130012,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6130209 妙仙 66 0 0 250010502,250010503,250010504 1032014,1040096,1060085,1092015,1092045,1332019,1412027,1422029,1432040,1452045,1462040,1472031,1492008,2000002,2000004,2040301,2040925,2043017,2043110,2384013,4000021,4000289,4003005,4004003,4006000,4007001,4020002,4020004,4031433,4130014,4130017,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
6220000 多尔 65 1 1 107000300,107000400 1302012,1312010,1322019,1332018,1372015,1382010,1402012,1412008,1422010,1432007,1442008,1452011,1462009,1472029,1472055,1482009,1492009,2000002,2000003,2002000,2002001,2040004,2040031,2040501,2040516,2040614,2040627,2040702,2040804,2041001,2041008,2043301,2044001,2044312,2044401,2044502,2044601,2044701,2044702,2044807,2048002,2060000,2061000,2388007,4000021,4000032,4000033,4010002,4020003,2022245,4031865,4031866 move,stand,skill1,hit1,die1
6220001 朱诺 65 1 1 221040301 1002024,1002095,1002254,1002285,1002289,1002637,1082100,1092047,1302049,1472055,2000002,2000003,2040413,2040425,2040516,2040707,2040804,2040925,2040927,2041016,2043101,2043214,2043216,2043301,2044301,2044401,2044901,2044902,2070004,2330003,2388031,4000117,4000118,4000119,4004000,4004001,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6230100 怪猫 62 0 1 105090300,105090301 1002021,1002166,1002218,1040095,1041087,1041103,1050047,1050060,1051045,1051054,1060084,1061086,1061102,1072148,1072154,1082061,1082066,1082090,1082106,1082204,1102016,1382006,1422005,1442010,1452016,1452045,1472023,2000005,2000006,2040001,2040323,2040823,2043201,2043212,2043701,2043801,2044809,2070004,2384001,4000027,4010006,4020008,4030012,4031213,4031466,4130011,4130012,4130016,2022245,4031865,4031866 move,stand,jump,hit1,die1
6230200 黑企鹅王 64 0 0 211040400 1002100,1002216,1002218,1002268,1041094,1050055,1051052,1061093,1072155,1072161,1072164,1082087,1082088,1092011,1102018,1332017,1382001,1472020,1472023,1472025,2000004,2000006,2040419,2040620,2384007,4000057,4004003,4004004,4006000,4010004,4020000,4130005,4130013,2022245,4031865,4031866 move,stand,hit1,die1
6230300 红小丑 66 0 6 220060000 1002101,1002242,1032015,1040089,1040099,1050061,1051031,1051042,1060078,1060088,1072125,1072152,1072158,1082060,1082065,1082087,1082096,1092045,1102024,1322026,1332056,1432007,1432012,1482008,2000002,2000004,2040301,2040318,2040622,2043701,2044801,2384012,4000129,4004003,4004004,4006000,4010006,4020008,4031170,4031171,4031175,4031189,4031195,4130001,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6230400 恶灵附身的娃娃 63 0 6 220070000 1002085,1002210,1002249,1002281,1002286,1032014,1032020,1040096,1041098,1050049,1051034,1051037,1060085,1061097,1072149,1072166,1082086,1082091,1082093,1082099,1102017,1322018,1332055,1372014,1372034,1472024,1472055,1492009,2000002,2000004,2002000,2040422,2040516,2040530,2040804,2040924,2040925,2043802,2044414,2044902,2384004,4000021,4000143,4004000,4007000,4010000,4010006,4020003,4020004,4031170,4031171,4031175,4130012,4130013,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6230401 黑色小飞狮 63 0 0 200010300 1092045,1092047,1372034,1412027,1482022,2040515,2044410,2384005,4130009,4130010,4130014,2022245,4031865,4031866 move,stand,jump,hit1,die1
6230500 大恶灵附身的娃娃 67 0 6 220070000 1002084,1002244,1002249,1002270,1002637,1032020,1040091,1050049,1050056,1060080,1072123,1072159,1072161,1072166,1082085,1082103,1332019,1422029,1492022,2000002,2000004,2040620,2041022,2043301,2048013,2384014,4000021,4000144,4004004,4006000,4007002,4010006,4020006,4031170,4031171,4031175,4130001,4130007,2022245,4031865,4031866 move,stand,attack1,hit1,die1
6230600 冰龙 64 0 1 105090310,105090311,105090312 1002208,1002634,1040091,1040094,1041085,1041091,1041097,1051043,1051046,1060080,1060083,1061083,1061090,1061096,1072158,1082095,1082098,1332055,1462008,1472024,2000004,2000006,2040001,2040317,2040328,2040928,2044112,2044414,2331000,2332000,2384006,4000030,4000185,4006000,4010004,4010006,4020005,4020007,4030012,4130006,4130011,4130015,2022245,4031865,4031866 move,stand,attack1,hit1,die1
